Key,en,es,ar,fr
Your KYC information is verified,Your KYC information is verified,Su información KYC está verificada,تم التحقق من معلومات KYC الخاصة بك,Vos informations KYC sont vérifiées
rejectedKycKey,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.,Vos informations KYC sont rejetées.
verifyKycInformation,Please verify KYC information,Por favor verifique la información KYC,يرجى التحقق من معلومات KYC,Veuillez vérifier les informations KYC
Verify KYC,Verify KYC,Verificar KYC,التحقق من KYC,Vérifier KYC
verifiedKycText,Your KYC information is verified,Su información KYC está verificada,تم التحقق من معلومات KYC الخاصة بك,Vos informations KYC sont vérifiées
Back to,Back to,De regreso,ارجع الى,Retour à
Create New Link,Create New Link,Crear nuevo enlace,إنشاء رابط جديد,Créer un nouveau lien
MM / YY / CVC,MM / YY / CVC,MM/AA/CVC,مم / YY / CVC,MM/AA/CVC
Securely save my information for 1-click checkout,Securely save my information for 1-click checkout,Guarde mi información de forma segura para realizar el pago con 1 clic,احفظ معلوماتي بشكل آمن للدفع بنقرة واحدة,Enregistrez mes informations en toute sécurité pour un paiement en 1 clic
and everywhere Link is accepted,and everywhere Link is accepted,y en todas partes se acepta enlace,ويتم قبول الارتباط في كل مكان,et partout où le lien est accepté
Create Another Link,Create Another Link,Crear otro enlace,إنشاء رابط آخر,Créer un autre lien
Copy link,Copy link,Copiar link,نسخ الوصلة,Copier le lien
Rejected,Rejected,Rechazado,مرفوض,Rejeté
Waiting,Waiting,Espera,منتظر,En attendant
Saved Recipients,Saved Recipients,Destinatarios guardados,المستلمون المحفوظون,Destinataires enregistrés
If you do not think you will use,If you do not think you will use,Si no crees que lo usarás,إذا كنت لا تعتقد أنك سوف تستخدم,Si vous ne pensez pas utiliser
agent Money Out,Agent Money Out,Salida de dinero del agente,وكيل المال خارج,Agent Money Out
body_text_web,"again and like your account deleted, we can take care of this for you. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted","nuevamente y como si tu cuenta fuera eliminada, podemos encargarnos de esto por ti. Tenga en cuenta que no podrá reactivar su cuenta ni recuperar el contenido o la información que haya agregado. Si aún deseas que se elimine tu cuenta",مرة أخرى، ومثلما تم حذف حسابك، يمكننا الاهتمام بهذا الأمر نيابةً عنك. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال ترغب في حذف حسابك,"encore une fois et comme votre compte a été supprimé, nous pouvons nous en occuper pour vous. Gardez à l’esprit que vous ne pourrez pas réactiver votre compte ni récupérer le contenu ou les informations que vous avez ajoutés. Si vous souhaitez toujours que votre compte soit supprimé"
My Wallet (Sandbox),My Wallet (Sandbox),Mi billetera (zona de pruebas),محفظتي (وضع الحماية),Mon portefeuille (bac à sable)
Fiat Currency,Fiat Currency,Moneda fiduciaria,عملة ورقية,Monnaie Fiat
Withdraw Money Chart,Withdraw Money Chart,Tabla de retiro de dinero,سحب الرسم البياني المال,Tableau des retraits d'argent
Payment Money from,Payment Money from,Pago Dinero de,أموال الدفع من,Paiement Argent de
Bussines Name,Bussines Name,Nombre del negocio,اسم الأعمال,Nom de l'entreprise
Closed,Closed,Cerrado,مغلق,Fermé
URL Copied To Clipboard!,URL Copied To Clipboard!,¡URL copiada al portapapeles!,تم نسخ عنوان URL إلى الحافظة!,URL copiée dans le presse-papiers !
Make Close,Make Close,Cerrar,قم بالإغلاق,Fermer
Make Active,Make Active,Activar,تفعيل,Rendre actif
2 factor authentication (Powered by google),2 factor authentication (Powered by google),Autenticación de 2 factores (Desarrollado por Google),المصادقة الثنائية (مدعوم من جوجل),Authentification à 2 facteurs (Propulsé par Google)
Download Google Authenticator App,Download Google Authenticator App,Descargue la aplicación Google Authenticator,تنزيل تطبيق Google Authenticator,Téléchargez l'application Google Authenticator
Google Authenticator,Google Authenticator,Autenticador de Google,أداة مصادقة جوجل,Authentificateur Google
Production,Production,Producción,إنتاج,Production
Sandbox,Sandbox,Salvadera,رمل,bac à sable
Are you sure change ,Are you sure change ,¿Estás seguro de cambiar? ,هل أنت متأكد من التغيير ,Es-tu sûr d'avoir changé
Client ID,Client ID,Identificación del cliente,معرف العميل,identité du client
Secret ID,Secret ID,identificación secreta,معرف سري,ID secret
Are you sure change mode to,Are you sure change mode to,¿Estás seguro de cambiar el modo a,هل أنت متأكد من تغيير الوضع إلى,Etes-vous sûr de changer de mode pour
Copied Client ID,Copied Client ID,ID de cliente copiado,معرف العميل المنسوخ,ID client copié
Copied Secret ID,Copied Secret ID,ID secreta copiada,المعرف السري المنسوخ,ID secret copié
Master / Visa Card,Master / Visa Card,Tarjeta Master/Visa,بطاقة ماستر / فيزا,Carte Master/Visa
Integrate Payment Gateway?,Integrate Payment Gateway?,¿Integrar pasarela de pago?,دمج بوابة الدفع؟,Intégrer une passerelle de paiement ?
Money In,Money In,Dinero en,المال في,Argent entrant
Saved My Sender,Saved My Sender,Guardé mi remitente,تم حفظ المرسل الخاص بي,J'ai enregistré mon expéditeur
Saved My Receiver,Saved My Receiver,Guardé mi receptor,تم حفظ جهاز الاستقبال الخاص بي,J'ai enregistré mon récepteur
Profits Log,Profits Log,Registro de ganancias,سجل الأرباح,Journal des bénéfices
Total Send Money,Total Send Money,Envío total de dinero,إجمالي إرسال الأموال,Total envoyer de l'argent
Total Money In,Total Money In,Dinero total ingresado,إجمالي الأموال الواردة,Total des entrées d'argent
Total Received Money,Total Received Money,Dinero total recibido,إجمالي الأموال المستلمة,Argent total reçu
Money In Log,Money In Log,Registro de entrada de dinero,المال في السجل,Journal d'argent
Sender Recipient,Sender Recipient,Remitente Destinatario,مستلم المرسل,Expéditeur Destinataire
Receiver Recipient,Receiver Recipient,Receptor Destinatario,المتلقي المتلقي,Destinataire Destinataire
Select Sender Recipient,Select Sender Recipient,Seleccione el destinatario del remitente,حدد مستلم المرسل,Sélectionnez l'expéditeur et le destinataire
Select Receiver Recipient,Select Receiver Recipient,Seleccionar destinatario destinatario,حدد مستلم المتلقي,Sélectionnez le destinataire du destinataire
Write something....,Write something....,Escribe algo....,أكتب شيئا....,Écris quelque chose....
Money In To,Money In To,dinero en,المال في ل,Argent entrant
Sender Recipient Name,Sender Recipient Name,Nombre del destinatario del remitente,اسم المرسل المستلم,Expéditeur Nom du destinataire
Receiver Recipient Name,Receiver Recipient Name,Nombre del destinatario,اسم المستلم المتلقي,Nom du destinataire
No Sender Recipient Found!,No Sender Recipient Found!,¡No se encontró ningún destinatario del remitente!,لم يتم العثور على مستلم المرسل!,Aucun destinataire expéditeur trouvé !
rWallet,Wallet,Billetera,محفظة,Portefeuille
bank-transfer,Bank Transfer,Transferencia bancaria,التحويل المصرفي,Virement
rcash-pickup,Cash Pickup,Retiro en ventanilla,الاستلام النقدي,Collecte d'espèces
Select Transaction Type,Select Transaction Type,Seleccione el tipo de transacción,حدد نوع المعاملة,Sélectionnez le type de transaction
Select Bank Name,Select Bank Name,Seleccione el nombre del banco,حدد اسم البنك,Sélectionnez le nom de la banque
Select Pickup Point,Select Pickup Point,Seleccionar punto de recogida,حدد نقطة الالتقاط,Sélectionnez un point de retrait
Interface Panel,Interface Panel,Panel de interfaz,لوحة الواجهة,Panneau d'interface
Total Virtual Cards,Total Virtual Cards,Tarjetas virtuales totales,إجمالي البطاقات الافتراضية,Total des cartes virtuelles
SuccessFully Fetch Account Balance,SuccessFully Fetch Account Balance,Recuperar con éxito el saldo de la cuenta,تم بنجاح جلب رصيد الحساب,Récupérer avec succès le solde du compte
Admin Profits,Admin Profits,Beneficios de administrador,أرباح الإدارة,Bénéfices administratifs
All,All,Todo,الجميع,Tous
Transfer Money Charges,Transfer Money Charges,Cargos por transferencia de dinero,رسوم تحويل الأموال,Frais de transfert d'argent
Bill Pay Charges,Bill Pay Charge,Cargo por pago de facturas,رسوم دفع الفاتورة,Frais de paiement de facture
Mobile Topup Charges,Mobile Topup Charges,Cargos de recarga móvil,رسوم تعبئة رصيد الهاتف المحمول,Frais de recharge mobile
Virtual Card Charges,Virtual Card Charges,Cargos de tarjeta virtual,رسوم البطاقة الافتراضية,Frais de carte virtuelle
Remittance Charge,Remittance Charge,Cargo por remesa,رسوم التحويلات,Frais de remise
Make Payment Charge,Make Payment Charge,Realizar cargo de pago,جعل رسوم الدفع,Effectuer des frais de paiement
Request Money Charge,Request Money Charge,Solicitar cargo de dinero,طلب رسوم المال,Demander des frais d'argent
Pay Link Charges,Pay Link Charges,Cargos por enlace de pago,دفع رسوم الارتباط,Payer les frais de liaison
Money Out Charges,Money Out Charges,Cargos por retiro de dinero,رسوم صرف الأموال,Frais de retrait d'argent
Money In Charges,Money In Charges,Dinero en cargos,المال في الرسوم,Argent en frais
Reload Card Charges,Reload Card Charges,Recargar Cargos de Tarjeta,إعادة تحميل رسوم البطاقة,Frais de recharge de carte
Mode,Mode,Modo,وضع,Mode
Live,Live,Vivir,يعيش,En direct
Generate,Generate,Generar,يولد,Générer
Asign Admin,Asign Admin,Asignar administrador,تعيين المشرف,Désigner un administrateur
Permission Name,Permission Name,Nombre del permiso,اسم الإذن,Nom de l'autorisation
Solved,Solved,Resuelto,تم حلها,Résolu
Choose One,Choose One,Elige uno,اختر واحدًا,Choisissez-en un
Select Timezone,Select Timezone,Selecciona la zona horaria,اختر المجال الزمني,Sélectionnez le fuseau horaire
Thumbnail Image,Thumbnail Image,Imagen en miniatura,صورة مصغرة,Image miniature
web_sub_title,Sub Title,Subtítulo,العنوان الفرعي,Sous-titre
Select Category,Select Category,selecciona una categoría,اختر الفئة,Choisir une catégorie
Blog Edit,Blog Edit,Editar blog,تحرير المدونة,Modifier le blog
Select Blog Tags,Select Blog Tags,Seleccionar etiquetas de blog,حدد علامات المدونة,Sélectionnez les balises du blog
Property ID,Property ID,ID de propiedad,معرف العقار,ID de propriété
Widget ID,Widget ID,ID del widget,معرف القطعة,Identifiant du widget
Input Text,Input Text,Texto de entrada,أدخل نصآ,Texte de saisie
File,File,Archivo,ملف,Déposer
Textarea,Textarea,área de texto,منطقة النص,Zone de texte
ex,ex,ex,السابق,ex
Required,Required,Requerido,مطلوب,Requis
Add Tags,Add Tags,Agregar etiquetas,اضف اشارة,Ajouter des balises
Card Holder's Name,Card Holder's Name,Nombre del tarjetahabiente,اسم حامل البطاقة,Nom du titulaire de la carte
Enter Card Holder's Name,Enter Card Holder's Name,Ingrese el nombre del titular de la tarjeta,أدخل اسم حامل البطاقة,Entrez le nom du titulaire de la carte
alert ,Alert ,Alerta ,يُحذًِر ,Alerte
 transfer money AppL,Transfer Money,Transferir dinero,تحويل أموال,Transférer de l'argent
noRecipientFound ,No Recipient Found! Please Add First,¡No se encontró ningún destinatario! Por favor agregue primero,لم يتم العثور على مستلم! الرجاء الإضافة أولا,Aucun destinataire trouvé ! Veuillez d'abord ajouter
Failed,Failed,Fallido,فشل,Échoué
DISBURSE FAILED: Insufficient funds in customer balance,DISBURSE FAILED: Insufficient funds in customer balance,FALLÓ EL DESEMBOLSO: Fondos insuficientes en el saldo del cliente,فشل الصرف: عدم كفاية الأموال في رصيد العميل,Échec du décaissement : fonds insuffisants dans le solde du client
"We may use cookies or any other tracking technologies when you visit our website, including any other media form, mobile website, or mobile application related or connected to help customize the Site and improve your experience.","We may use cookies or any other tracking technologies when you visit our website, including any other media form, mobile website, or mobile application related or connected to help customize the Site and improve your experience.","Podemos utilizar cookies o cualquier otra tecnología de seguimiento cuando visita nuestro sitio web, incluido cualquier otro medio de comunicación, sitio web móvil o aplicación móvil relacionada o conectada para ayudar a personalizar el Sitio y mejorar su experiencia.",قد نستخدم ملفات تعريف الارتباط أو أي تقنيات تتبع أخرى عندما تزور موقعنا على الويب، بما في ذلك أي نموذج وسائط آخر أو موقع ويب للجوال أو تطبيق جوال مرتبط أو متصل للمساعدة في تخصيص الموقع وتحسين تجربتك.,"Nous pouvons utiliser des cookies ou toute autre technologie de suivi lorsque vous visitez notre site Web, y compris toute autre forme multimédia, site Web mobile ou application mobile liée ou connectée pour vous aider à personnaliser le Site et à améliorer votre expérience."
Allow,Allow,Permitir,يسمح,Permettre
Decline,Decline,Rechazar,انخفاض,Déclin
Registration Option Currently Off,Registration Option Currently Off,Opción de registro actualmente desactivada,خيار التسجيل معطل حاليا,Option d'inscription actuellement désactivée
Select Agents,Select Agents,Seleccionar agentes,حدد الوكلاء,Sélectionnez les agents
Total Deducted,Total Deducted,Total deducido,إجمالي المبلغ المخصوم,Total déduit
Agent Section,Agent Section,Sección de agentes,قسم الوكيل,Section Agents
Agent App,Agent App,Aplicación de agente,تطبيق الوكيل,Application pour agents
Bottom Heading,Bottom Heading,Título inferior,العنوان السفلي,Titre inférieur
Bottom Sub Heading,Bottom Sub Heading,Subtítulo inferior,العنوان الفرعي السفلي,Sous-titre inférieur
Bottom Details,Bottom Details,Detalles inferiores,تفاصيل القاع,Détails du bas
Agent App Section,Agent App Section,Sección de aplicación del agente,قسم تطبيقات الوكيل,Section de l'application pour agents
Withdraw Money Details For,Withdraw Money Details For,Detalles de retiro de dinero para,سحب تفاصيل الأموال ل,Retirer de l'argent pour
Withdraw Details,Withdraw Details,Detalles del retiro,تفاصيل السحب,Détails du retrait
CARD-BUY,CARD-BUY,COMPRA CON TARJETA,شراء البطاقة,ACHAT DE CARTE
Virtual Card Logs,Virtual Card Logs,Registros de tarjetas virtuales,سجلات البطاقة الافتراضية,Journaux de cartes virtuelles
Sender Type,Sender Type,Tipo de remitente,نوع المرسل,Type d'expéditeur
Receiver Type,Receiver Type,Tipo de receptor,نوع جهاز الاستقبال,Type de récepteur
Receiver Amount,Receiver Amount,Cantidad del receptor,مبلغ المتلقي,Montant du récepteur
Withdraw Manual Gateway,Withdraw Manual Gateway,Retirar puerta de enlace manual,سحب البوابة اليدوية,Retirer la passerelle manuelle
Withdraw Gateway Edit,Withdraw Gateway Edit,Retirar puerta de enlace Editar,تحرير بوابة السحب,Retirer la passerelle Modifier
Automatic Withdraw Gateway,Automatic Withdraw Gateway,Puerta de enlace de retiro automático,بوابة السحب التلقائي,Passerelle de retrait automatique
Automatic Withdraw Edit,Automatic Withdraw Edit,Retiro automático Editar,تحرير السحب التلقائي,Retrait automatique Modifier
No Items Available,No Items Available,No hay artículos disponibles,لا توجد عناصر متاحة,Aucun article disponible
Please follow the mimimum limit,Please follow the mimimum limit,Siga el límite mínimo,يرجى اتباع الحد الأدنى,Veuillez respecter la limite minimale
Please follow the maximum limit,Please follow the maximum limit,Siga el límite máximo,يرجى اتباع الحد الأقصى,Veuillez respecter la limite maximale
No Gateway Available,No Gateway Available,No hay puerta de enlace disponible,لا توجد بوابة متاحة,Aucune passerelle disponible
Gift Card,Gift Card,Tarjeta de regalo,كرت هدية,Carte cadeau
My Gift Card,My Gift Card,Mi tarjeta de regalo,بطاقة الهدايا الخاصة بي,Ma carte cadeau
Gift Cards,Gift Cards,Tarjetas de regalo,بطاقات الهدايا,Cartes cadeaux
Card Name,Card Name,Nombre de tarjeta,اسم البطاقة,Nom de la carte
Card Images,Card Image,Imagen de la tarjeta,صورة البطاقة,Image de la carte
receiver Email,Receiver Email,Correo electrónico del destinatario,البريد الإلكتروني المتلقي,E-mail du destinataire
Receiver Phone,Receiver Phone,Teléfono receptor,هاتف المتلقي,Téléphone récepteur
Card Unit Price,Card Unit Price,Precio unitario de la tarjeta,سعر وحدة البطاقة,Prix ​​unitaire de la carte
Card Quantity,Card Quantity,Cantidad de tarjeta,كمية البطاقة,Quantité de carte
Card Total Price,Card Total Price,Precio Total de la Tarjeta,السعر الإجمالي للبطاقة,Prix ​​total de la carte
Payable Unit Price,Payable Unit Price,Precio unitario a pagar,سعر الوحدة المستحق الدفع,Prix ​​unitaire à payer
Gift Card Details,Gift Card Details,Detalles de la tarjeta de regalo,تفاصيل بطاقة الهدايا,Détails de la carte-cadeau
The system wallet does not have the currency code for the product currency code,The system wallet does not have the currency code for the product currency code,La billetera del sistema no tiene el código de moneda para el código de moneda del producto.,لا تحتوي محفظة النظام على رمز العملة الخاص برمز عملة المنتج,Le portefeuille système n'a pas le code de devise pour le code de devise du produit
Select an amount between,Select an amount between,Seleccione una cantidad entre,حدد المبلغ بين,Sélectionnez un montant entre
enter Receiver Email Address,Enter Receiver Email Address,Ingrese la dirección de correo electrónico del destinatario,أدخل عنوان البريد الإلكتروني للمستلم,Entrez l'adresse e-mail du destinataire
From Name,From Name,Del nombre,من الاسم,Du nom
Your Name,Your Name,Su nombre,اسمك,votre nom
Buy Gift Card,Buy Gift Card,Comprar tarjeta de regalo,شراء بطاقة الهدايا,Acheter une carte-cadeau
Product Name,Product Name,nombre del producto,اسم المنتج,Nom du produit
Receiver Country,Receiver Country,País receptor,بلد الاستقبال,Pays du destinataire
Amount Field Is Required,Amount Field Is Required,El campo de cantidad es obligatorio,حقل المبلغ مطلوب,Le champ Montant est obligatoire
Receiver Email Field Is Required,Receiver Email Field Is Required,El campo de correo electrónico del destinatario es obligatorio,حقل البريد الإلكتروني للمستلم مطلوب,Le champ de courrier électronique du destinataire est obligatoire
Invalid Email Format,Invalid Email Format,Formato de correo inválido,تنسيق البريد الإلكتروني غير صالح,Format d'email invalide
Country Field Is Required,Country Field Is Required,El campo de país es obligatorio,حقل البلد مطلوب,Le champ Pays est obligatoire
Receiver Phone Field Is Required,Receiver Phone Field Is Required,El campo del teléfono del receptor es obligatorio,حقل هاتف المتلقي مطلوب,Le champ du téléphone du destinataire est obligatoire
From Name Field Is Required,From Name Field Is Required,El campo del nombre es obligatorio,من حقل الاسم مطلوب,Le champ du nom de l'expéditeur est obligatoire
Gift Card Api,Gift Card Api,API de tarjeta de regalo,واجهة برمجة تطبيقات بطاقة الهدايا,API de carte-cadeau
Gift Card Logs,Gift Card Logs,Registros de tarjetas de regalo,سجلات بطاقات الهدايا,Journaux de cartes-cadeaux
Setup Gift Card Api,Setup Gift Card Api,Configurar API de tarjeta de regalo,إعداد واجهة برمجة تطبيقات بطاقة الهدايا,Configurer l'API de la carte-cadeau
Production URL,Production URL,URL de producción,عنوان URL للإنتاج,URL de production
Sandbox URL,Sandbox URL,URL de zona de pruebas,عنوان URL الخاص بوضع الحماية,URL du bac à sable
Webhook URL,Webhook URL,URL de webhook,عنوان URL للويب هوك,URL du webhook
Api ENV,Api ENV,API ENV,واجهة برمجة التطبيقات إنف,API ENV
Gift Card API Has Been Updated.,Gift Card API Has Been Updated.,La API de la tarjeta de regalo se ha actualizado.,تم تحديث واجهة برمجة تطبيقات بطاقة الهدايا.,L'API des cartes-cadeaux a été mise à jour.
Sender Country Is Not Valid,Sender Country Is Not Valid,El país del remitente no es válido,بلد المرسل غير صالح,Le pays de l'expéditeur n'est pas valide
Receiver Country Is Not Valid,Receiver Country Is Not Valid,El país del receptor no es válido,بلد المتلقي غير صالح,Le pays du destinataire n'est pas valide
You don't have sufficient balance,You don't have sufficient balance,No tienes saldo suficiente,ليس لديك رصيد كافي,Vous n'avez pas de solde suffisant
Gift Card Order,Gift Card Order,Orden de tarjeta de regalo,طلب بطاقة الهدايا,Commande de carte-cadeau
Your Gift Card Order Has Been Successfully Processed,Your Gift Card Order Has Been Successfully Processed,Su pedido de tarjeta de regalo se ha procesado correctamente,تمت معالجة طلب بطاقة الهدايا الخاصة بك بنجاح,Votre commande de carte-cadeau a été traitée avec succès
Gift Details For,Gift Details For,Detalles del regalo para,تفاصيل الهدية ل,Détails du cadeau pour
Card Currency,Card Currency,Moneda de la tarjeta,عملة البطاقة,Devise de la carte
Card Api Currency,Card Api Currency,Tarjeta API Moneda,عملة بطاقة API,Devise de l'API de la carte
Api Discount,Api Discount,Descuento API,خصم أبي,Remise API
Api Fee,Api Fee,Tarifa API,رسوم واجهة برمجة التطبيقات,Frais API
Api Sms Fee,Api Sms Fee,Tarifa SMS API,رسوم الرسائل القصيرة API,Frais SMS API
Api Total Fee,Api Total Fee,Tarifa Total API,إجمالي رسوم واجهة برمجة التطبيقات,Frais totaux de l'API
Api Trx Id,Api Trx Id,ID de API Trx,معرف API Trx,Identifiant API Trx
Total Gift Cards,Total Gift Cards,Tarjetas de regalo totales,إجمالي بطاقات الهدايا,Total des cartes-cadeaux
Narration,Narration,Narración,السرد,Narration
Thank you for using our application!,Thank you for using our application!,¡Gracias por utilizar nuestra aplicación!,شكرا لك على استخدام التطبيق لدينا!,Merci d'utiliser notre application !
Your Gift Card Email Details,"Your Gift Card Order Has Been Successfully Processed, Details of Gift Card Order","Su pedido de tarjeta de regalo se ha procesado correctamente, detalles del pedido de tarjeta de regalo",تمت معالجة طلب بطاقة الهدايا الخاصة بك بنجاح، تفاصيل طلب بطاقة الهدايا,"Votre commande de carte-cadeau a été traitée avec succès, détails de la commande de carte-cadeau"
Send Email Details,"Your Send Money Request Send Successfully, Details Of Send Money","Su solicitud de envío de dinero se envió correctamente, detalles del envío de dinero",تم إرسال طلب إرسال الأموال بنجاح، تفاصيل إرسال الأموال,"Votre demande d'envoi d'argent a été envoyée avec succès, détails de l'envoi d'argent"
Hello,Hello,Hola,مرحبًا,Bonjour
Date And Time,Date And Time,Fecha y hora,التاريخ و الوقت,Date et l'heure
Receive Money Details,"You Got Received Money Successfully, Details Of Rreceived Money","Recibió el dinero con éxito, detalles del dinero recibido",لقد استلمت الأموال بنجاح، تفاصيل الأموال المستلمة,"Vous avez reçu de l'argent avec succès, détails de l'argent reçu"
AppLGiftCard,Gift Card,Tarjeta de regalo,كرت هدية,Carte cadeau
AppLGiftCards,Gift Cards,Tarjetas de regalo,بطاقات الهدايا,Cartes cadeaux
AppLGiftCardDetails,Gift Card Details,Detalles de la tarjeta de regalo,تفاصيل بطاقة الهدايا,Détails de la carte-cadeau
AppLReceiverEmail,Receiver Email,Correo electrónico del destinatario,البريد الإلكتروني المتلقي,E-mail du destinataire
AppLFromName,From Name,Del nombre,من الاسم,Du nom
AppLEnter,Enter,Ingresar,يدخل,Entrer
AppLTrxID,TRX ID,Identificación TRX,معرف تي آر إكس,ID TRX
Send Request Money Email Details,"Your Request Money Request Send Successfully, Details Of Request Money","Su solicitud de dinero se envió correctamente, detalles de la solicitud de dinero",تم إرسال طلب الأموال الخاص بك بنجاح، تفاصيل طلب الأموال,"Votre demande d'argent envoyée avec succès, détails de la demande d'argent"
Receive Request Money Email Details,"You Got A Request Money Request, Details Of Request Money","Recibió una solicitud de dinero, detalles de la solicitud de dinero",لقد حصلت على طلب طلب أموال، تفاصيل طلب الأموال,"Vous avez reçu une demande d'argent, détails de la demande d'argent"
Receiver Will Get,Receiver Will Get,El receptor obtendrá,سوف يحصل المتلقي,Le destinataire obtiendra
Send Remittance Email Heading,"Send Remittance request to send admin successfully, details of Send Remittance","Enviar solicitud de remesa para enviar el administrador con éxito, detalles de Enviar remesa",إرسال طلب التحويل لإرسال المشرف بنجاح، تفاصيل إرسال التحويلات,"Envoyer la demande de paiement pour envoyer l'administrateur avec succès, détails de l'envoi de paiement"
Receiver Name,Receiver Name,Nombre del destinatario,اسم المتلقي,Nom du destinataire
Add Money Via,Add Money Via,Agregar dinero mediante,أضف المال عبر,Ajouter de l'argent via
Your add money request successful via,Your add money request successful via,Su solicitud para agregar dinero se realizó correctamente a través de,لقد نجح طلب إضافة الأموال الخاص بك عبر,Votre demande d'ajout d'argent a réussi via
details of add money,details of add money,detalles de agregar dinero,تفاصيل إضافة المال,détails de l'ajout d'argent
Manual Add Money Heading,Manual Add Money Heading,Encabezado Agregar dinero manualmente,دليل إضافة عنوان المال,Ajout manuel d'argent en-tête
Withdraw Money Via,Withdraw Money Via,Retirar dinero mediante,سحب الأموال عن طريق,Retirer de l'argent via
Withdraw Send Email Heading,Your withdraw money request send successfully via,Su solicitud de retiro de dinero se envió exitosamente a través de,تم إرسال طلب سحب الأموال الخاص بك بنجاح عبر,Votre demande de retrait d'argent a été envoyée avec succès via
details of withdraw money,details of withdraw money,detalles de retirar dinero,تفاصيل سحب الأموال,détails du retrait d'argent
Make Payment Email Sender Heading,"Your payment amount request send successfully, details of make payment","Su solicitud de monto de pago se envió exitosamente, detalles para realizar el pago",تم إرسال طلب مبلغ الدفع الخاص بك بنجاح، تفاصيل إجراء الدفع,"Votre demande de montant de paiement a été envoyée avec succès, les détails du paiement"
Receiver Make Payment Email Heading,"You got payment successfully, details of payment money","Recibiste el pago exitosamente, detalles del dinero del pago.",لقد قمت بالدفع بنجاح، تفاصيل الدفع المالي,"Vous avez reçu le paiement avec succès, détails de l'argent du paiement"
Money Out From,Money Out From,Salida de dinero de,الأموال الخارجة من,Argent sorti de
Sender Money Out Email Heading,"Your Money Out Request Send Successfully, Details Of Money Out","Su solicitud de retiro de dinero se envió exitosamente, detalles del retiro de dinero",تم إرسال طلب تحويل أموالك بنجاح، تفاصيل تحويل الأموال,"Votre demande de retrait d'argent a été envoyée avec succès, détails du retrait d'argent"
Receiver Money Out Email Heading,"You Got Received Money Successfully, Details Of Money Out","Recibió el dinero con éxito, detalles del retiro del dinero",لقد استلمت الأموال بنجاح، تفاصيل الأموال الصادرة,"Vous avez reçu de l'argent avec succès, détails de l'argent retiré"
Virtual Card (Buy Card),Virtual Card (Buy Card),Tarjeta Virtual (Comprar Tarjeta),البطاقة الافتراضية (شراء البطاقة),Carte virtuelle (Acheter une carte)
Create Virtual Card Email Heading,"Your virtual create successfully, details of virtual card","Tu creación virtual exitosa, detalles de la tarjeta virtual",تم الإنشاء الافتراضي الخاص بك بنجاح، تفاصيل البطاقة الافتراضية,"Votre création virtuelle réussie, détails de la carte virtuelle"
Virtual Card (Fund Amount),Virtual Card (Fund Amount),Tarjeta virtual (monto del fondo),البطاقة الافتراضية (مبلغ الصندوق),Carte virtuelle (montant du fonds)
Card Fund Email Heading,"Your virtual funded successfully, details of virtual card","Tu virtual financiado con éxito, detalles de la tarjeta virtual",تم تمويلك الافتراضي بنجاح، تفاصيل البطاقة الافتراضية,"Votre financement virtuel réussi, détails de la carte virtuelle"
Bill Pay For,Bill Pay For,Pago de facturas por,فاتورة الدفع مقابل,Facture à payer
Sender Bill Pay Email Heading,Your Bill pay request sent to admin successfully for,Su solicitud de pago de facturas se envió exitosamente al administrador para,تم إرسال طلب دفع الفاتورة إلى المشرف بنجاح,Votre demande de paiement de facture envoyée à l'administrateur avec succès pour
details of bill pay, details of bill pay, detalles del pago de facturas, تفاصيل دفع الفاتورة, détails du paiement de la facture
Mobile Top Up For,Mobile Top Up For,Recarga Móvil Para,تعبئة رصيد الهاتف المحمول لـ,Recharge mobile pour
Sender Mobile top Up Email Heading,Your Mobile Top Up request send to admin successful for,Su solicitud de recarga móvil se envió exitosamente al administrador para,تم إرسال طلب تعبئة رصيد الهاتف المحمول الخاص بك إلى المشرف بنجاح,Votre demande de recharge mobile a été envoyée à l'administrateur avec succès pour
details of mobile top up,details of mobile top up,detalles de recarga de móvil,تفاصيل تعبئة رصيد الهاتف المحمول,détails de la recharge mobile
Payment Link Transaction via,Payment Link Transaction via,Transacción de enlace de pago a través de,معاملة رابط الدفع عبر,Transaction de lien de paiement via
Your payment request successfully via,Your payment request successfully via,Su solicitud de pago exitosamente a través de,تم طلب الدفع الخاص بك بنجاح عبر,Votre demande de paiement avec succès via
details of transactions,details of transactions,detalles de transacciones,تفاصيل المعاملات,détails des transactions
Need to verify your account before access your dashboard,Need to verify your account before access your dashboard,Necesita verificar su cuenta antes de acceder a su panel de control,تحتاج إلى التحقق من حسابك قبل الوصول إلى لوحة التحكم الخاصة بك,Besoin de vérifier votre compte avant d'accéder à votre tableau de bord
Your verification code,Your verification code,Tu código de verificación,رمز التحقق,Votre code de vérification
Verification Code (Password Reset),Verification Code (Password Reset),Código de verificación (restablecimiento de contraseña),رمز التحقق (إعادة تعيين كلمة المرور),Code de vérification (réinitialisation du mot de passe)
